lake,basin,date,time,mosquitoes,mos_min,hum_21,temp_min_20,temp_max_20,precip_20,precip_40,precip_60,precip_80,precip_tot,trail,trail_head,pass
arrowhead,duck,1-Jul-24,112,531,4.74,177,5.8,16.4,154.1,128.4,286.5,107.6,676.6,on,1.73,before
arrowhead,duck,20-Jul-24,60,122,2.03,184,9.9,21.1,154.1,128.4,286.5,107.6,676.6,on,1.73,before
arrowhead,duck,27-Jul-24,120,13,0.11,156,10.2,20.9,154.1,128.4,286.5,107.6,676.6,on,1.73,before
big_mcgee,mcgee,4-Jul-24,270,1193,4.42,20,3.5,17.4,117.5,99.0,241.3,91.66,549.5,on,11.87,before
big_mcgee,mcgee,23-Jul-24,210,182,0.87,44,6.1,20.3,117.5,99.0,241.3,91.66,549.5,on,11.87,before
birchim,pine,25-Jun-24,83,425,5.12,11,2.7,16.5,105.1,88.25,248.3,87.4,529.1,off,8.25,before
birchim,pine,16-Jul-24,180,206,1.14,24,5.4,19.2,105.1,88.25,248.3,87.4,529.1,off,8.25,before
cotton,fish,6-Jul-24,100,202,2.02,0,5.6,17.8,134.0,121.8,280.9,103.4,640.1,off,19.81,after
cotton,fish,25-Jul-24,120,0,0.00,0,9.3,21.2,134.0,121.8,280.9,103.4,640.1,off,19.81,after
eb,rock,13-Jul-23,120,240,2.00,30,1.7,15.1,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,17-Jul-23,103,444,4.31,39,3.3,17.3,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,24-Jul-23,240,130,0.54,46,5.4,18.9,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,5-Aug-23,180,554,3.08,49,6.2,18.4,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,19-Aug-23,120,333,2.78,39,3.3,15.8,211.1,424.0,36.5,126.8,798.4,on,0.82,before
eb,rock,25-Aug-23,60,15,0.25,39,2.1,14.1,211.1,424.0,36.5,126.8,798.4,on,0.82,before
elba,french,26-Jun-24,120,13,0.11,1,3.2,17.0,97.2,88.9,237.3,82.1,505.5,off,15.9,after
elba,french,17-Jul-24,240,159,0.66,12,5.4,20.0,97.2,88.9,237.3,82.1,505.5,off,15.9,after
flower,onion,20-Jul-23,255,9,0.04,18,3.8,17.3,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,29-Jul-23,160,301,1.88,26,4.9,18.2,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,4-Aug-23,240,220,0.92,34,5.1,17.8,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,18-Aug-23,90,112,1.24,33,2.9,15.1,244.4,451.2,24.3,125.4,845.3,on,4.11,before
flower,onion,30-Jul-24,60,3,0.05,13,5.2,17.3,85.2,90.5,224.3,58.6,458.6,on,4.11,before
gilbert,onion,21-Jul-23,157,12,0.08,18,4.0,17.5,244.4,451.2,24.3,125.4,845.3,on,3.70,before
gilbert,onion,28-Jul-23,240,224,0.93,26,4.8,18.1,244.4,451.2,24.3,125.4,845.3,on,3.70,before
gilbert,onion,6-Aug-23,240,70,0.29,35,4.7,17.4,244.4,451.2,24.3,125.4,845.3,on,3.70,before
gilbert,onion,18-Aug-23,90,14,0.16,33,2.9,15.1,244.4,451.2,24.3,125.4,845.3,on,3.70,before
heart,rock,14-Jul-23,116,164,1.41,30,2.0,15.6,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,19-Jul-23,120,35,0.29,39,4.4,18.2,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,25-Jul-23,240,924,3.85,46,5.5,18.8,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,3-Aug-23,240,230,0.96,49,6.6,19.0,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,15-Aug-23,120,121,1.01,39,3.9,16.3,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,22-Aug-23,120,301,2.51,39,2.5,14.7,211.1,424.0,36.5,126.8,798.4,on,2.13,before
heart,rock,18-Jun-24,122,179,1.47,102,2.0,16.0,98.0,84.3,225.0,72.2,479.6,on,2.13,before
heart,rock,9-Jul-24,205,530,2.59,209,4.3,18.5,98.0,84.3,225.0,72.2,479.6,on,2.13,before
hidden,rock,14-Jul-23,116,95,0.82,30,2.0,15.6,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,19-Jul-23,120,61,0.51,39,4.4,18.2,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,25-Jul-23,240,114,0.48,46,5.5,18.8,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,3-Aug-23,240,705,2.94,49,6.6,19.0,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,15-Aug-23,120,256,2.13,39,3.9,16.3,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,22-Aug-23,120,133,1.11,39,2.5,14.7,211.1,424.0,36.5,126.8,798.4,off,2.84,before
hidden,rock,18-Jun-24,119,15,0.13,102,2.0,16.0,98.0,84.3,225.0,72.2,479.6,off,2.84,before
hidden,rock,9-Jul-24,85,358,4.21,209,4.3,18.5,98.0,84.3,225.0,72.2,479.6,off,2.84,before
honeymoon,pine,25-Jun-24,240,357,1.49,11,2.7,16.5,105.1,88.25,248.3,87.4,529.1,on,9.56,before
honeymoon,pine,16-Jul-24,75,197,2.63,24,5.4,19.2,105.1,88.25,248.3,87.4,529.1,on,9.56,before
hortense,fish,6-Jul-24,180,13,0.07,0,5.6,17.8,134.0,121.8,280.9,103.4,640.1,off,22.56,after
iw,fish,6-Jul-24,180,231,1.28,0,5.6,17.8,134.0,121.8,280.9,103.4,640.1,off,21.60,after
iw,fish,25-Jul-24,73,4,0.05,0,9.3,21.2,134.0,121.8,280.9,103.4,640.1,off,21.60,after
leb,rock,15-Jul-23,117,54,0.46,30,2.3,16.1,211.1,424.0,36.5,126.8,798.4,off,0.63,before
leb,rock,22-Jul-23,240,119,0.50,39,5.1,18.6,211.1,424.0,36.5,126.8,798.4,off,0.63,before
leb,rock,27-Jul-23,240,131,0.55,46,5.8,18.9,211.1,424.0,36.5,126.8,798.4,off,0.63,before
leb,rock,31-Jul-23,190,946,4.98,46,6.3,19.1,211.1,424.0,36.5,126.8,798.4,off,0.63,before
leb,rock,17-Aug-23,122,92,0.75,39,3.6,16.0,211.1,424.0,36.5,126.8,798.4,off,0.63,before
leb,rock,23-Aug-23,123,458,3.72,39,2.3,14.4,211.1,424.0,36.5,126.8,798.4,off,0.63,before
leb,rock,16-Jun-24,176,189,1.07,102,2.0,15.9,98.0,84.3,225.0,72.2,479.6,off,0.63,before
leb,rock,10-Jul-24,160,74,0.46,209,4.8,19.0,98.0,84.3,225.0,72.2,479.6,off,0.63,before
leb,rock,3-Aug-24,60,17,0.28,228,4.0,17.2,98.0,84.3,225.0,72.2,479.6,off,0.63,before
little_fish,rock,18-Jul-23,119,4,0.03,39,4.0,17.8,211.1,424.0,36.5,126.8,798.4,off,3.58,before
little_fish,rock,26-Jul-23,240,225,0.94,46,5.7,18.9,211.1,424.0,36.5,126.8,798.4,off,3.58,before
little_fish,rock,1-Aug-23,240,127,0.53,46,6.6,19.1,211.1,424.0,36.5,126.8,798.4,off,3.58,before
little_fish,rock,16-Aug-23,116,298,2.57,39,3.7,16.1,211.1,424.0,36.5,126.8,798.4,off,3.58,before
little_fish,rock,24-Aug-23,122,303,2.48,39,2.2,14.3,211.1,424.0,36.5,126.8,798.4,off,3.58,before
little_lakes,rock,18-Jul-23,111,67,0.60,39,4.0,17.8,211.1,424.0,36.5,126.8,798.4,off,4.20,before
little_lakes,rock,26-Jul-23,193,5,0.03,46,5.7,18.9,211.1,424.0,36.5,126.8,798.4,off,4.20,before
little_lakes,rock,1-Aug-23,240,219,0.91,46,6.6,19.1,211.1,424.0,36.5,126.8,798.4,off,4.20,before
little_lakes,rock,16-Aug-23,112,23,0.21,39,3.7,16.1,211.1,424.0,36.5,126.8,798.4,off,4.20,before
little_lakes,rock,24-Aug-23,120,143,1.19,39,2.2,14.3,211.1,424.0,36.5,126.8,798.4,off,4.20,before
lower_pioneer,mono,21-Jun-24,120,17,0.14,2,1.8,16.4,112.7,96.3,251.8,92.5,553.3,off,15.04,after
lower_pioneer,mono,12-Jul-24,90,16,0.18,10,5.0,20.2,112.7,96.3,251.8,92.5,553.3,off,15.04,after
mack,rock,13-Jul-23,101,106,1.05,30,1.7,15.1,211.1,424.0,36.5,126.8,798.4,on,1.01,before
mack,rock,17-Jul-23,70,57,0.81,39,3.3,17.3,211.1,424.0,36.5,126.8,798.4,on,1.01,before
mack,rock,24-Jul-23,240,558,2.33,46,5.4,18.9,211.1,424.0,36.5,126.8,798.4,on,1.01,before
mack,rock,5-Aug-23,210,83,0.40,49,6.2,18.4,211.1,424.0,36.5,126.8,798.4,on,1.01,before
mack,rock,19-Aug-23,120,51,0.43,39,3.3,15.8,211.1,424.0,36.5,126.8,798.4,on,1.01,before
mack,rock,25-Aug-23,79,119,1.51,39,2.1,14.1,211.1,424.0,36.5,126.8,798.4,on,1.01,before
marsh,rock,15-Jul-23,124,390,3.15,30,2.3,16.1,211.1,424.0,36.5,126.8,798.4,on,1.61,before
marsh,rock,22-Jul-23,240,45,0.19,39,5.1,18.6,211.1,424.0,36.5,126.8,798.4,on,1.61,before
marsh,rock,27-Jul-23,240,593,2.47,46,5.8,18.9,211.1,424.0,36.5,126.8,798.4,on,1.61,before
marsh,rock,31-Jul-23,240,227,0.95,46,6.3,19.1,211.1,424.0,36.5,126.8,798.4,on,1.61,before
marsh,rock,17-Aug-23,120,387,3.23,39,3.6,16.0,211.1,424.0,36.5,126.8,798.4,on,1.61,before
marsh,rock,23-Aug-23,120,46,0.38,39,2.3,14.4,211.1,424.0,36.5,126.8,798.4,on,1.61,before
marsh,rock,19-Jun-24,192,171,0.89,102,2.0,15.9,98.0,84.3,225.0,72.2,479.6,on,1.61,before
marsh,rock,10-Jul-24,99,118,1.19,209,4.8,19.0,98.0,84.3,225.0,72.2,479.6,on,1.61,before
marsh,rock,3-Aug-24,60,4,0.07,228,4.0,17.2,98.0,84.3,225.0,72.2,479.6,on,1.61,before
matlock,onion,21-Jul-23,97,3,0.03,18,4.0,17.5,244.4,451.2,24.3,125.4,845.3,on,4.91,before
matlock,onion,28-Jul-23,240,48,0.20,26,4.8,18.1,244.4,451.2,24.3,125.4,845.3,on,4.91,before
matlock,onion,6-Aug-23,240,221,0.92,35,4.7,17.4,244.4,451.2,24.3,125.4,845.3,on,4.91,before
matlock,onion,18-Aug-23,60,191,3.18,33,2.9,15.1,244.4,451.2,24.3,125.4,845.3,on,4.91,before
matlock,onion,30-Jul-24,52,22,0.42,13,5.2,17.3,85.2,90.5,224.3,58.6,458.6,on,4.91,before
moon,french,26-Jun-24,115,6,0.05,1,3.2,17.0,97.2,88.9,237.3,82.1,505.5,off,16.0,after
moon,french,17-Jul-24,85,90,1.06,12,5.4,20.0,97.2,88.9,237.3,82.1,505.5,off,16.0,after
no_name,onion,20-Jul-23,250,26,0.10,18,3.8,17.3,244.4,451.2,24.3,125.4,845.3,on,5.08,before
no_name,onion,29-Jul-23,230,146,0.63,26,4.9,18.2,244.4,451.2,24.3,125.4,845.3,on,5.08,before
no_name,onion,4-Aug-23,240,324,1.35,34,5.1,17.8,244.4,451.2,24.3,125.4,845.3,on,5.08,before
no_name,onion,18-Aug-23,90,205,2.28,33,2.9,15.1,244.4,451.2,24.3,125.4,845.3,on,5.08,before
pine,pine,25-Jun-24,80,315,3.94,11,2.7,16.5,105.1,88.25,248.3,87.4,529.1,on,6.92,before
pine,pine,15-Jul-24,240,308,1.28,24,5.4,19.2,105.1,88.25,248.3,87.4,529.1,on,6.92,before
pioneer_1,mono,21-Jun-24,265,127,0.48,2,1.8,16.4,112.7,96.3,251.8,92.5,553.3,on,13.11,after
pioneer_1,mono,12-Jul-24,170,70,0.41,10,5.0,20.2,112.7,96.3,251.8,92.5,553.3,on,13.11,after
pioneer_2,mono,21-Jun-24,225,53,0.24,2,1.8,16.4,112.7,96.3,251.8,92.5,553.3,on,14.2,after
pioneer_2,mono,12-Jul-24,90,24,0.27,10,5.0,20.2,112.7,96.3,251.8,92.5,553.3,on,14.2,after
skelton,duck,1-Jul-24,120,1448,12.07,177,5.8,16.4,154.1,128.4,286.5,107.6,676.6,on,2.73,before
skelton,duck,20-Jul-24,150,43,0.29,184,9.9,21.1,154.1,128.4,286.5,107.6,676.6,on,2.73,before
skelton,duck,27-Jul-24,60,90,1.50,156,10.2,20.9,154.1,128.4,286.5,107.6,676.6,on,2.73,before
tully,fish,6-Jul-24,94,30,0.32,0,5.6,17.8,134.0,121.8,280.9,103.4,640.1,off,18.88,after
tully,fish,25-Jul-24,120,0,0.00,0,9.3,21.2,134.0,121.8,280.9,103.4,640.1,off,18.88,after
upper_pine,pine,25-Jun-24,135,48,0.36,11,2.7,16.5,105.1,88.25,248.3,87.4,529.1,on,8.34,before
upper_pine,pine,16-Jul-24,164,243,1.48,24,5.4,19.2,105.1,88.25,248.3,87.4,529.1,on,8.34,before